group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium_Tin,Hydroxylammonium_Tin,-0.1475,1.0,-0.816,0.5211,False
Acetamidinium_Tin,Imidazolium_Germanium,-0.0643,1.0,-0.7179,0.5893,False
Acetamidinium_Tin,Imidazolium_Lead,-0.1995,1.0,-0.8859,0.4869,False
Acetamidinium_Tin,Imidazolium_Tin,-0.1128,1.0,-0.7537,0.528,False
Acetamidinium_Tin,Isopropylammonium_Germanium,0.2149,1.0,-0.4149,0.8448,False
Acetamidinium_Tin,Isopropylammonium_Lead,0.199,1.0,-0.4213,0.8193,False
Acetamidinium_Tin,Isopropylammonium_Tin,0.1982,1.0,-0.4267,0.8231,False
Acetamidinium_Tin,Methylammonium_Germanium,0.0769,1.0,-0.6198,0.7736,False
Acetamidinium_Tin,Methylammonium_Lead,-0.0989,1.0,-0.807,0.6092,False
Acetamidinium_Tin,Methylammonium_Tin,0.0742,1.0,-0.6122,0.7606,False
Acetamidinium_Tin,Propylammonium_Germanium,0.37,0.9337,-0.219,0.959,False
Acetamidinium_Tin,Propylammonium_Lead,0.1595,1.0,-0.4351,0.7542,False
Acetamidinium_Tin,Propylammonium_Tin,0.2449,1.0,-0.3366,0.8263,False
Acetamidinium_Tin,Tetramethylammonium_Germanium,0.3608,1.0,-0.5187,1.2404,False
Acetamidinium_Tin,Tetramethylammonium_Lead,0.0507,1.0,-0.7937,0.8952,False
Acetamidinium_Tin,Tetramethylammonium_Tin,0.2485,1.0,-0.631,1.1281,False
Acetamidinium_Tin,Trimethylammonium_Germanium,0.2368,1.0,-0.3931,0.8666,False
Acetamidinium_Tin,Trimethylammonium_Lead,0.0053,1.0,-0.5992,0.6097,False
Acetamidinium_Tin,Trimethylammonium_Tin,0.1304,1.0,-0.474,0.7348,False
Ammonium_Germanium,Ammonium_Lead,-0.1922,1.0,-1.2062,0.8219,False
Ammonium_Germanium,Ammonium_Tin,0.0213,1.0,-0.9167,0.9592,False
